Origin/Destination,start station name,Route,start station latitude,start station longitude
Destination,Jackson Square,Hamilton Park_to_Jackson Square,40.71113,-74.0789
Origin,Hamilton Park,Hamilton Park_to_JC Medical Center,40.72759597,-74.04424731
Destination,JC Medical Center,Hamilton Park_to_JC Medical Center,40.71653978,-74.04963791
Origin,Hamilton Park,Hamilton Park_to_JCBS Depot,40.72759597,-74.04424731
Destination,JCBS Depot,Hamilton Park_to_JCBS Depot,40.70965083,-74.06860113
Origin,Hamilton Park,Hamilton Park_to_Jersey & 3rd,40.72759597,-74.04424731
Destination,Jersey & 3rd,Hamilton Park_to_Jersey & 3rd,40.72333159,-74.04595256
Origin,Hamilton Park,Hamilton Park_to_Jersey & 6th St,40.72759597,-74.04424731
Destination,Jersey & 6th St,Hamilton Park_to_Jersey & 6th St,40.72528911,-74.04557168
Origin,Hamilton Park,Hamilton Park_to_Journal Square,40.72759597,-74.04424731
Destination,Journal Square,Hamilton Park_to_Journal Square,40.73367,-74.0625
Origin,Hamilton Park,Hamilton Park_to_Lafayette Park,40.72759597,-74.04424731
Destination,Lafayette Park,Hamilton Park_to_Lafayette Park,40.71346383,-74.06285852
Origin,Hamilton Park,Hamilton Park_to_Liberty Light Rail,40.72759597,-74.04424731
Destination,Liberty Light Rail,Hamilton Park_to_Liberty Light Rail,40.7112423,-74.0557013
Origin,Hamilton Park,Hamilton Park_to_Lincoln Park,40.72759597,-74.04424731
Destination,Lincoln Park,Hamilton Park_to_Lincoln Park,40.7246051,-74.07840595
Origin,Hamilton Park,Hamilton Park_to_Manila & 1st,40.72759597,-74.04424731
Destination,Manila & 1st,Hamilton Park_to_Manila & 1st,40.72165072,-74.04288411
Origin,Hamilton Park,Hamilton Park_to_Marin Light Rail,40.72759597,-74.04424731
Destination,Marin Light Rail,Hamilton Park_to_Marin Light Rail,40.71458404,-74.04281706
Origin,Hamilton Park,Hamilton Park_to_McGinley Square,40.72759597,-74.04424731
Destination,McGinley Square,Hamilton Park_to_McGinley Square,40.72533993,-74.06762213
Origin,Hamilton Park,Hamilton Park_to_Monmouth and 6th,40.72759597,-74.04424731
Destination,Monmouth and 6th,Hamilton Park_to_Monmouth and 6th,40.72568548,-74.04879034
Origin,Hamilton Park,Hamilton Park_to_Montgomery St,40.72759597,-74.04424731
Destination,Montgomery St,Hamilton Park_to_Montgomery St,40.71942,-74.05099
Origin,Hamilton Park,Hamilton Park_to_Morris Canal,40.72759597,-74.04424731
Destination,Morris Canal,Hamilton Park_to_Morris Canal,40.71241882,-74.03852552
Origin,Hamilton Park,Hamilton Park_to_Newark Ave,40.72759597,-74.04424731
Destination,Newark Ave,Hamilton Park_to_Newark Ave,40.72152515,-74.04630454
Origin,Hamilton Park,Hamilton Park_to_Newport PATH,40.72759597,-74.04424731
Destination,Newport PATH,Hamilton Park_to_Newport PATH,40.7272235,-74.0337589
Origin,Hamilton Park,Hamilton Park_to_Newport Pkwy,40.72759597,-74.04424731
Destination,Newport Pkwy,Hamilton Park_to_Newport Pkwy,40.7287448,-74.0321082
Origin,Hamilton Park,Hamilton Park_to_Oakland Ave,40.72759597,-74.04424731
Destination,Oakland Ave,Hamilton Park_to_Oakland Ave,40.7376037,-74.0524783
Origin,Hamilton Park,Hamilton Park_to_Paulus Hook,40.72759597,-74.04424731
Destination,Paulus Hook,Hamilton Park_to_Paulus Hook,40.7141454,-74.0335519
Origin,Hamilton Park,Hamilton Park_to_Pershing Field,40.72759597,-74.04424731
Destination,Pershing Field,Hamilton Park_to_Pershing Field,40.74267714,-74.05178863
Origin,Hamilton Park,Hamilton Park_to_Riverview Park,40.72759597,-74.04424731
Destination,Riverview Park,Hamilton Park_to_Riverview Park,40.7443187,-74.0439909
Origin,Hamilton Park,Hamilton Park_to_Sip Ave,40.72759597,-74.04424731
Destination,Sip Ave,Hamilton Park_to_Sip Ave,40.73086984,-74.06388991
Origin,Hamilton Park,Hamilton Park_to_South St & Gouverneur Ln,40.72759597,-74.04424731
Destination,South St & Gouverneur Ln,Hamilton Park_to_South St & Gouverneur Ln,40.70355377,-74.00670227
Origin,Hamilton Park,Hamilton Park_to_Van Vorst Park,40.72759597,-74.04424731
Destination,Van Vorst Park,Hamilton Park_to_Van Vorst Park,40.71848892,-74.04772663
Origin,Hamilton Park,Hamilton Park_to_Vesey Pl & River Terrace,40.72759597,-74.04424731
Destination,Vesey Pl & River Terrace,Hamilton Park_to_Vesey Pl & River Terrace,40.7153379,-74.01658354
Origin,Hamilton Park,Hamilton Park_to_Warren St,40.72759597,-74.04424731
Destination,Warren St,Hamilton Park_to_Warren St,40.7211236,-74.03805095
Origin,Hamilton Park,Hamilton Park_to_Washington St,40.72759597,-74.04424731
Destination,Washington St,Hamilton Park_to_Washington St,40.7242941,-74.0354826
Origin,Hamilton Park,Hamilton Park_to_York St,40.72759597,-74.04424731
Destination,York St,Hamilton Park_to_York St,40.71649,-74.04105
Origin,Harborside,Harborside_to_Harborside,40.7192517,-74.034234
Destination,Harborside,Harborside_to_Harborside,40.72240237,-74.04084433
Origin,Harborside,Harborside_to_5 Corners Library,40.7192517,-74.034234
Destination,5 Corners Library,Harborside_to_5 Corners Library,40.73496102,-74.05950308
Origin,Harborside,Harborside_to_Astor Place,40.7192517,-74.034234
Destination,Astor Place,Harborside_to_Astor Place,40.7192822,-74.07126188
Origin,Harborside,Harborside_to_Baldwin at Montgomery,40.7192517,-74.034234
Destination,Baldwin at Montgomery,Harborside_to_Baldwin at Montgomery,40.7236589,-74.0641943
Origin,Harborside,Harborside_to_Bergen Ave,40.7192517,-74.034234
Destination,Bergen Ave,Harborside_to_Bergen Ave,40.72210379,-74.071455
Origin,Harborside,Harborside_to_Brunswick & 6th,40.7192517,-74.034234
